T,delta,iv
0.02,0.1,0.10023500127034426
0.02,0.25,0.10034582109396412
0.02,0.5,0.10046916240590144
0.02,0.75,0.10058799795833263
0.02,0.9,0.10070152274087442
0.05,0.1,0.10083872757067519
0.05,0.25,0.1010093396145378
0.05,0.5,0.10120617724801476
0.05,0.75,0.10140261799150734
0.05,0.9,0.10158638164781707
0.075,0.1,0.10135021752209689
0.075,0.25,0.10156221572187883
0.075,0.5,0.10179778795049621
0.075,0.75,0.10204924709291842
0.075,0.9,0.1022701921581552
0.1,0.1,0.10183913142505607
0.1,0.25,0.10210831462388466
0.1,0.5,0.10239459303626827
0.1,0.75,0.10266652360765739
0.1,0.9,0.10291231271101609
0.15,0.1,0.10286578718918912
0.15,0.25,0.10319287113373672
0.15,0.5,0.10355730976075958
0.15,0.75,0.10394410301338895
0.15,0.9,0.10429924720213293
0.25,0.1,0.104843259128566
0.25,0.25,0.10527776845324754
0.25,0.5,0.10577229711972971
0.25,0.75,0.10627814361284205
0.25,0.9,0.10674033116770705
0.5,0.1,0.10921232324699721
0.5,0.25,0.10996594856559569
0.5,0.5,0.11076646531877417
0.5,0.75,0.11156962194803896
0.5,0.9,0.11227778015241127
0.75,0.1,0.11285713325249355
0.75,0.25,0.11388263671825415
0.75,0.5,0.11499518236649528
0.75,0.75,0.1160004626066784
0.75,0.9,0.11690788619565139
1.0,0.1,0.11614934668427962
1.0,0.25,0.11727733093776481
1.0,0.5,0.1185785363117191
1.0,0.75,0.11995074275407833
1.0,0.9,0.12126631268106741
2.0,0.1,0.12454141527596026
2.0,0.25,0.12649447393850696
2.0,0.5,0.12861104537902812
2.0,0.75,0.1308689113007384
2.0,0.9,0.13305144392174392
