T,F,K_25P,K_ATM,K_25C
0.0194,1.4999796301383117,1.4836192730382316,1.4999796301383117,1.5168797943311458
0.04166,1.499925013874369,1.4767103573378508,1.499925013874369,1.5241310319153
0.0833,1.4998875492152703,1.471851275248311,1.4998875492152703,1.5312858583810824
0.1666,1.499875055204023,1.4646871510545827,1.499875055204023,1.5377145872163736
0.25,1.5001875117192385,1.460874328327985,1.5001875117192385,1.5423397095129812
0.3333,1.5000999933327406,1.4629016011442975,1.5000999933327406,1.545033736735317
0.4166,1.4997500608255105,1.4678947237547602,1.4997500608255105,1.540004590462117
0.5,1.5004500675067505,1.4785981658595875,1.5004500675067505,1.530312546442655
0.75,1.5011254219804886,1.5212173504928395,1.5011254219804886,1.4966754728985445
1.0,1.5009002700540082,1.613787434918714,1.5009002700540082,1.4228763643901585
1.25,1.5015007502500626,1.8227283445461107,1.5015007502500626,1.2732643056573683
1.5,1.498650607317791,,1.498650607317791,
2.0,1.4976019189764096,,1.4976019189764096,
3.0,1.497527040752432,,1.497527040752432,
4.0,1.4988004798720256,,1.4988004798720256,
5.0,1.4977516866565663,,1.4977516866565663,
